"","Year","Month","Bond_lag_MV","Bond_Ew_Ret","Bond_Vw_Ret"
"399",1959,3,167464,-0.00146563030273973,-0.00198454803234845
"400",1959,4,172187,-0.00271296213684211,-0.00398581806895468
"401",1959,5,168042,0.00108527800933333,0.000929640065408648
"402",1959,6,169782,0.000133921396153846,-0.000347131636062127
"403",1959,7,158042,0.0037690349987013,0.00362188035173878
"404",1959,8,177179,-0.00391176279135802,-0.00490453646425141
"405",1959,9,175020,0.00183770811666667,0.00256875036375271
"406",1959,10,176937,0.0100411145544304,0.0100000298626692
"407",1959,11,172720,-0.0016402373275,-0.0018313701326899
"408",1959,12,179359,-0.00297675981829268,-0.00337288639719167
"409",1960,1,179992,0.00932438942439024,0.0104850952874322
"410",1960,2,172252,0.00612645182962963,0.0063814999417522
"411",1960,3,176289,0.01832322810125,0.0205577288621485
"412",1960,4,177364,-0.003342639235,-0.00412332529150786
"413",1960,5,173066,0.00623908073875,0.00618554674327771
"414",1960,6,177090,0.0134797943841463,0.0140312429996951
"415",1960,7,176022,0.0146816425361446,0.0165256420462993
"416",1960,8,169627,0.000294192294939759,-1.3354302909914e-05
"417",1960,9,178141,0.00283701916097561,0.00267234583180009
"418",1960,10,180285,0.00102635350119048,0.000992061779916798
"419",1960,11,172001,-0.00350980196941176,-0.00405640574117011
"420",1960,12,182637,0.0137576054126437,0.0144145021968353
"421",1961,1,180297,-0.00324927172,-0.00304344540816375
"422",1961,2,176063,0.00599958145348837,0.00600442305785656
"423",1961,3,179668,0.00181802984941176,0.00201403491351827
"424",1961,4,184971,0.00509085553678161,0.00514169653756102
"425",1961,5,172701,0.000407448998837209,0.000457152228175286
"426",1961,6,179017,-0.00212895501931818,-0.00212911952640978
"427",1961,7,168867,0.00229262060941176,0.00223224175810075
"428",1961,8,184197,-0.000350462377272727,4.04632303213408e-05
"429",1961,9,181313,0.00555311068604651,0.00568360973009657
"430",1961,10,182092,0.00363786538235294,0.00348284164863036
"431",1961,11,181501,0.000228377724137931,0.000343292139011906
"432",1961,12,187702,-4.79019318181833e-07,0.000250120208980725
"433",1962,1,182514,0.00177707365443038,0.00189024437200982
"434",1962,2,175610,0.00629089952857143,0.00683051466406754
"435",1962,3,184437,0.00796846310769231,0.00809787559819396
"436",1962,4,184391,0.00524199127974684,0.00512469698079407
"437",1962,5,178216,0.00167631698734177,0.0017538542828792
"438",1962,6,184656,-0.00207111676440741,-0.00217598276836195
"439",1962,7,182533,0.00121288584567901,0.00113957767584218
"440",1962,8,178546,0.0076041161691358,0.00833204586876603
"441",1962,9,186970,0.00394962091097561,0.00413620624817136
"442",1962,10,186328,0.00517083822926829,0.00513333929916169
"443",1962,11,180221,0.002493038875,0.00256320540036788
"444",1962,12,189305,0.00310830101585366,0.00290557591602335
"445",1963,1,189467,0.00238720753292683,0.00241144352178902
"446",1963,2,183159,0.00166904395679012,0.00191104048294105
"447",1963,3,190227,0.00207262173209877,0.00209651431864299
"448",1963,4,188093,0.00185805450625,0.00180716749475685
"449",1963,5,182547,0.00187284262439024,0.00190666787842364
"450",1963,6,191123,0.00180877779638554,0.00189592496804309
"451",1963,7,188927,0.00183293605121951,0.00166110812197992
"452",1963,8,185071,0.0019139278195122,0.00189929776647449
"453",1963,9,193251,0.00241831422168675,0.00256112872505032
"454",1963,10,189566,0.000814254478313253,0.000713696483501788
"455",1963,11,186405,0.00282876058823529,0.00280679756561466
"456",1963,12,193079,0.0014064494755814,0.00126373505757125
"457",1964,1,192097,0.00369344987386364,0.00382266228370407
"458",1964,2,190034,0.00142537997840909,0.00122345230531957
"459",1964,3,194670,0.00142964073678161,0.00140681714470951
"460",1964,4,193411,0.00467882387674419,0.00490220448101246
"461",1964,5,187121,0.00464516782325581,0.00498948998492312
"462",1964,6,194576,0.00515834800795455,0.00543731680682972
"463",1964,7,192872,0.00331741147931035,0.00333921817504044
"464",1964,8,191846,0.00203222361149425,0.00195271646765218
"465",1964,9,194282,0.00307410065747126,0.00341543887279007
"466",1964,10,195427,0.00337927556091954,0.00323472190675905
"467",1964,11,190190,0.00120598301609195,0.00107710758211788
"468",1964,12,198723,0.00458446059662921,0.00465374922059752
"469",1965,1,201557,0.00359321902888889,0.00370720856077189
"470",1965,2,201716,0.00174260705604396,0.0015936227489044
"471",1965,3,198962,0.00432417526022727,0.00441379302335672
"472",1965,4,199456,0.00341428049213483,0.00333709170417987
"473",1965,5,193203,0.00277045970681818,0.00278573649175996
"474",1965,6,194672,0.00454746387325581,0.00467603050208967
"475",1965,7,196876,0.00238624448390805,0.00230299482844887
"476",1965,8,188380,0.000802029642352941,0.00058127369467247
"477",1965,9,195069,9.12831697674419e-05,-0.000389816537157621
