,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
201409,0.16,-1.88,-2.78,-4.05,-5.97
201410,3.71,2.88,2.36,0.44,-0.1
201411,3.38,3.8,2.5,-0.69,-1.06
201412,-0.65,-0.25,0.67,0.91,-0.36
201501,-0.38,-2.42,-4.92,-7.18,-6.6
201502,3.3,6.48,8.19,8.03,9.11
201503,-0.87,-1.72,-1.32,-1.01,-1.43
201504,-0.89,1.06,1.05,2.58,1.35
201505,1.73,1.45,1.27,0.99,-0.38
201506,-1.41,-2.49,-1.12,-0.32,-2.19
201507,3.9,2.28,0.41,-1.25,-2.09
