KYTREASNOX,CALDT,TDYTM
2000003,01/16/1976,5.6821542774
2000003,01/19/1976,5.5705178819
2000003,01/20/1976,5.5988837068
2000003,01/21/1976,5.5281878479
2000003,01/22/1976,5.5565878233
2000003,01/23/1976,5.452178265
2000003,01/26/1976,5.470634911
2000003,01/27/1976,5.4656597848
2000003,01/28/1976,5.4269613254
2000003,01/29/1976,5.3880566407
2000003,01/30/1976,5.5268879297
2000003,02/02/1976,5.5705304432
2000003,02/03/1976,5.6253726265
2000003,02/04/1976,5.7409612103
2000003,02/05/1976,5.7057378861
2000003,02/06/1976,5.7614630896
2000003,02/09/1976,5.7160803663
